S000000001	ORF	Verified	Transcription Factor class C	YAL001C	TFC3	FUN24|TSV115|tau 138|transcription factor TFIIIC subunit TFC3	chrI	147594	151166	-1	Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (extra TFIIIC) sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes
S000000001_C	CDS	""	""	""	""	""	chrI	147594	151006	-1	""
S000000001_C	CDS	""	""	""	""	""	chrI	151097	151166	-1	""
S000000001_C	intron	""	""	""	""	""	chrI	151007	151096	-1	""
S000000002	ORF	Verified	Vacuolar Protein Sorting	YAL002W	VPS8	VPL8|FUN15|VPT8|CORVET complex membrane-binding subunit VPS8	chrI	143707	147531	1	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
S000000002_C	CDS	""	""	""	""	""	chrI	143707	147531	1	""
S000000003	ORF	Verified	Elongation Factor Beta	YAL003W	EFB1	eEF1Balpha|EF-1beta|TEF5|translation elongation factor 1 subunit beta	chrI	142174	143160	1	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants
S000000003_C	CDS	""	""	""	""	""	chrI	142174	142253	1	""
S000000003_C	CDS	""	""	""	""	""	chrI	142620	143160	1	""
S000000003_C	intron	""	""	""	""	""	chrI	142254	142619	1	""
S000000004	ORF	Verified	Stress-Seventy subfamily A	YAL005C	SSA1	YG100|Hsp70 family ATPase SSA1	chrI	139503	141431	-1	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils
S000000004_C	CDS	""	""	""	""	""	chrI	139503	141431	-1	""
S000000005	ORF	Verified	Emp24p/Erv25p Related Protein	YAL007C	ERP2	""	chrI	137698	138345	-1	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication
S000000005_C	CDS	""	""	""	""	""	chrI	137698	138345	-1	""
S000000006	ORF	Verified	Function Unknown Now	YAL008W	FUN14	MCP3	chrI	136914	137510	1	Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis
S000000006_C	CDS	""	""	""	""	""	chrI	136914	137510	1	""
S000000007	ORF	Verified	SPOrulation	YAL009W	SPO7	Nem1-Spo7 phosphatase regulatory subunit SPO7	chrI	135854	136633	1	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear/ER membrane association and activation of Pah1p, a phosphatidate phosphatase involved in the production of diacylglycerol DAG for lipid droplet biogenesis; phosphatase activity of the Nem1p-Spo7p complex is inhibited by Ice2p; regulates nuclear growth by controlling phospholipid biosynthesis; required for normal nuclear envelope morphology, premeiotic replication, and sporulation
S000000007_C	CDS	""	""	""	""	""	chrI	135854	136633	1	""
S000000008	ORF	Verified	Mitochondrial Distribution and Morphology	YAL010C	MDM10	FUN37	chrI	134184	135665	-1	Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase
S000000008_C	CDS	""	""	""	""	""	chrI	134184	135665	-1	""
S000000009	ORF	Verified	SWr Complex	YAL011W	SWC3	SWC1	chrI	132199	134076	1	Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae
S000000009_C	CDS	""	""	""	""	""	chrI	132199	134076	1	""
S000000010	ORF	Verified	CYStathionine gamma-lyase	YAL012W	CYS3	CYI1|FUN35|STR1|cystathionine gamma-lyase CYS3	chrI	130799	131983	1	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress
S000000010_C	CDS	""	""	""	""	""	chrI	130799	131983	1	""
S000000011	ORF	Verified	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	YAL013W	DEP1	FUN54|Rpd3L histone deacetylase complex subunit DEP1	chrI	129270	130487	1	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation; localizes to both the nucleus and mitochondria where it may play a role in mitophagy
S000000011_C	CDS	""	""	""	""	""	chrI	129270	130487	1	""
S000000012	ORF	Verified	SYNtaxin	YAL014C	SYN8	SLT2|UIP2|syntaxin	chrI	128252	129019	-1	Endosomal SNARE related to mammalian syntaxin 8
S000000012_C	CDS	""	""	""	""	""	chrI	128252	129019	-1	""
S000000013	ORF	Verified	eNdonuclease Three-like Glycosylase	YAL015C	NTG1	FUN33|SCR1|ogg2|bifunctional N-glycosylase/AP lyase NTG1	chrI	126903	128102	-1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication
S000000013_C	CDS	""	""	""	""	""	chrI	126903	128102	-1	""
S000000014	ORF	Verified	tRNA Processing Deficient	YAL016W	TPD3	FUN32|protein phosphatase 2A structural subunit TPD3	chrI	124879	126786	1	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III
S000000014_C	CDS	""	""	""	""	""	chrI	124879	126786	1	""
S000000015	ORF	Verified	Pas domain-containing Serine/threonine protein Kinase	YAL017W	PSK1	FUN31|serine/threonine protein kinase PSK1	chrI	120225	124295	1	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication
S000000015_C	CDS	""	""	""	""	""	chrI	120225	124295	1	""
S000000016	ORF	Verified	Lipid Droplets in Sporulation	YAL018C	LDS1	""	chrI	118564	119541	-1	Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants
S000000016_C	CDS	""	""	""	""	""	chrI	118564	119541	-1	""
S000000017	ORF	Verified	Function Unknown Now	YAL019W	FUN30	DNA-dependent ATPase FUN30	chrI	114919	118314	1	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate
S000000017_C	CDS	""	""	""	""	""	chrI	114919	118314	1	""
S000000018	ORF	Verified	Alpha Tubulin Suppressor	YAL020C	ATS1	FUN28|KTI13	chrI	113614	114615	-1	Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p
S000000018_C	CDS	""	""	""	""	""	chrI	113614	114615	-1	""
S000000019	ORF	Verified	Carbon Catabolite Repression	YAL021C	CCR4	FUN27|NUT21|CCR4-NOT core exoribonuclease subunit CCR4	chrI	110846	113359	-1	Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening
S000000019_C	CDS	""	""	""	""	""	chrI	110846	113359	-1	""
