2-oxoglutarate decarboxylation to succinyl-CoA	PWY-5084	KGD1	YIL125W	alpha-KetoGlutarate Dehydrogenase
2-oxoglutarate decarboxylation to succinyl-CoA	PWY-5084	KGD2	YDR148C	alpha-KetoGlutarate Dehydrogenase
2-oxoglutarate decarboxylation to succinyl-CoA	PWY-5084	LPD1	YFL018C	LiPoamide Dehydrogenase
4-aminobenzoate biosynthesis	PWY-6543	ABZ1	YNR033W	para-AminoBenZoic acid (PABA) biosynthesis
4-aminobenzoate biosynthesis	PWY-6543	ABZ2	YMR289W	para-AminoBenZoic acid (PABA) biosynthesis
4-aminobutyrate degradation	YEAST-4AMINOBUTMETAB-PWY	UGA1	YGR019W	Utilization of GAba
4-aminobutyrate degradation	YEAST-4AMINOBUTMETAB-PWY	UGA2	YBR006W	Utilization of GAba
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	PWY-6147	FOL1	YNL256W	FOLic acid synthesis
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	PWY-6147	FOL2	YGR267C	FOLic acid synthesis
acetate utilization	ACETATEUTIL2-PWY	ACS1	YAL054C	Acetyl CoA Synthetase
acetate utilization	ACETATEUTIL2-PWY	ACS2	YLR153C	Acetyl CoA Synthetase
acetoin biosynthesis	PWY3O-335	BDH1	YAL060W	Butanediol DeHydrogenase
acetoin biosynthesis	PWY3O-335	ILV2	YMR108W	IsoLeucine-plus-Valine requiring
acetoin biosynthesis	PWY3O-335	ILV6	YCL009C	IsoLeucine Valine
adenosine deoxyribonucleotides de novo biosynthesis II	PWY-7220-1	RNR1	YER070W	RiboNucleotide Reductase
adenosine deoxyribonucleotides de novo biosynthesis II	PWY-7220-1	RNR2	YJL026W	RiboNucleotide Reductase
adenosine deoxyribonucleotides de novo biosynthesis II	PWY-7220-1	RNR3	YIL066C	RiboNucleotide Reductase
adenosine deoxyribonucleotides de novo biosynthesis II	PWY-7220-1	RNR4	YGR180C	RiboNucleotide Reductase
adenosine deoxyribonucleotides de novo biosynthesis II	PWY-7220-1	TRX1	YLR043C	ThioRedoXin
